"Event ID","Report Number","Officer Badge ID","Officer Dispatched DateTime","Officer Cleared DateTime","Street","City","State","Zip Code","Call Type","Clearance Code","Category"
"2400095119","","8192      ","2024-11-10 17:43:19","2024-11-10 18:03:17","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095120","","7170      ","2024-11-10 17:45:12","2024-11-10 18:38:46","1650 COKEY RD","ROCKY MOUNT","NC","","COURT PAPER SERVICE","H   ","COURT PAPER SERVICE"
"2400095120","","8535      ","2024-11-10 17:45:12","2024-11-10 18:38:46","1650 COKEY RD","ROCKY MOUNT","NC","","COURT PAPER SERVICE","H   ","COURT PAPER SERVICE"
"2400095120","","8259      ","2024-11-10 17:45:12","2024-11-10 18:57:41","1650 COKEY RD","ROCKY MOUNT","NC","","COURT PAPER SERVICE","H   ","COURT PAPER SERVICE"
"2400095122","","7799      ","2024-11-10 17:53:18","2024-11-10 17:57:43","513 WOODBURNE DR/HAWTHORNE RD","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095123","","6441      ","2024-11-10 18:00:00","2024-11-10 18:19:33","1912 LEGGETT RD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095123","","7381      ","2024-11-10 18:00:05","2024-11-10 18:22:12","1912 LEGGETT RD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095123","","8192      ","2024-11-10 18:00:05","2024-11-10 18:22:12","1912 LEGGETT RD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095124","","8420      ","2024-11-10 18:03:24","2024-11-10 18:31:26","1625 WINTERBERRY DR","ROCKY MOUNT","NC","","SUSPICIOUS VEHICLE","C   ","SUSPICIOUS VEHICLE"
"2400095124","","7432      ","2024-11-10 18:03:39","2024-11-10 18:32:04","1625 WINTERBERRY DR","ROCKY MOUNT","NC","","SUSPICIOUS VEHICLE","C   ","SUSPICIOUS VEHICLE"
